town_code,town_name,population,size,region,coastal,work_town_code,work_town_name,work_town_size,job_density,income,university,perc_age_35_to_64_l4,pop_in_ks4,perc_age_18_l2,perc_age_18_l3,perc_age_19_full_time_higher_ed,perc_age_19_sustained_further_ed,perc_age_19_apprenticeships,perc_age_19_sustained_emp_over_0,perc_age_19_sustained_emp_over_10000,perc_age_22_l1_to_l2,perc_age_22_l3_to_l5,perc_age_22_l6_to_l8,avg_level_age_22,education_score
E34003928,Clevedon BUA,21002,Medium Towns,South West,Coastal,E30000285,Weston-super-Mare,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,209,93.30143541,63.15789474,38.27751196,23.44497608,13.39712919,54.06698565,27.75119617,14.8,50.5,33.3,3.813397129,2.669953734
E34003940,Anstey BUA,6528,Small Towns,East Midlands,Non-coastal,E30000230,Leicester,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Low,73,78.08219178,42.46575342,34.24657534,31.50684932,23.28767123,61.64383562,34.24657534,33.8,32.4,33.8,3.616438356,0.783062857
E34003989,Great Torrington BUA,5714,Small Towns,South West,Non-coastal,E30000167,Bideford,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,67,76.11940299,31.34328358,22.3880597,22.3880597,14.92537313,47.76119403,25.37313433,32.4,44.1,NA,3.268656716,-5.664436036
E34004012,Wroughton BUA,6474,Small Towns,South West,Non-coastal,E30000276,Swindon,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,61,83.60655738,47.54098361,24.59016393,19.67213115,NA,55.73770492,36.06557377,28.8,45.8,NA,3.62295082,0.490617302
E34004090,Tavistock BUA,12280,Small Towns,South West,Non-coastal,E30000253,Plymouth,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Medium,133,87.21804511,50.37593985,33.83458647,27.81954887,15.03759398,52.63157895,18.04511278,20.7,48.1,29.6,3.571428571,0.701047898
E34004099,Codsall BUA,11673,Small Towns,West Midlands,Non-coastal,E30000288,Wolverhampton and Walsall,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,114,86.84210526,64.9122807,39.47368421,21.92982456,14.9122807,56.14035088,27.19298246,15.5,46.6,34.5,3.763157895,2.825355496
E34004122,Cockermouth BUA,9146,Small Towns,North West,Non-coastal,E30000290,Workington,Majority rural,Working,Lower deprivation towns,No university,High,108,86.11111111,53.7037037,41.66666667,28.7037037,17.59259259,48.14814815,25,20.6,50.5,28,3.638888889,2.469207502
E34004125,Blandford Forum BUA,11694,Small Towns,South West,Non-coastal,E30000172,Blandford Forum and Gillingham,Majority rural,Working,Mid deprivation towns,No university,Medium,144,85.41666667,38.19444444,27.77777778,12.5,NA,45.13888889,27.08333333,33.8,46.5,17.6,3.166666667,-3.707811845
E34004134,Sittingbourne BUA,48948,Medium Towns,South East,Non-coastal,E30000242,Medway,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,617,87.33766234,49.18831169,33.22528363,15.07293355,11.02106969,47.48784441,24.79740681,32.8,39.4,25.8,3.346839546,-1.827642336
E34004138,Buxton (High Peak) BUA,22115,Medium Towns,East Midlands,Non-coastal,E30000185,Buxton,Majority town and city (small),Mixed,Mid deprivation towns,No university,Medium,267,82.77153558,50.56179775,33.70786517,16.85393258,13.8576779,51.68539326,26.96629213,28.8,40.8,28.1,3.464419476,0.159995512
E34004141,Newhaven BUA,13222,Small Towns,South East,Coastal,E30000179,Brighton,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,156,74.35897436,32.69230769,16.02564103,23.07692308,16.66666667,55.76923077,32.69230769,26.9,57.1,NA,3.006410256,-5.590413957
E34004142,Hadleigh BUA,8150,Small Towns,East of England,Non-coastal,E30000222,Ipswich,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,106,84.90566038,48.11320755,33.01886792,18.86792453,15.09433962,56.60377358,32.0754717,24.8,43.8,28.6,3.518867925,-0.951042944
E34004143,Thetford BUA,24833,Medium Towns,East of England,Non-coastal,E30000135,Thetford and Mildenhall,Majority rural,Working,Higher deprivation towns,No university,Low,291,75.25773196,35.73883162,27.49140893,16.15120275,8.934707904,59.79381443,30.58419244,37.2,36.2,22.4,3.103092784,-6.093760141
E34004149,Billingshurst BUA,6911,Small Towns,South East,Non-coastal,E30000196,Crawley,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,71,92.95774648,52.11267606,35.21126761,NA,NA,53.52112676,23.94366197,30.1,42.5,NA,3.464788732,0.504834046
E34004151,Annfield Plain BUA,10406,Small Towns,North East,Non-coastal,E30000245,Newcastle,Majority conurbation,Residential,Higher deprivation towns,No university,Low,112,84.82142857,38.39285714,17.85714286,27.67857143,16.96428571,42.85714286,19.64285714,33,47.3,NA,3.196428571,-1.9293064
E34004153,Emsworth BUA,18777,Small Towns,South East,Non-coastal,E30000191,Chichester and Bognor Regis,Majority town and city (small),Residential,Lower deprivation towns,No university,Medium,180,82.77777778,50,33.33333333,19.44444444,12.77777778,52.77777778,24.44444444,19.9,53,24.9,3.455555556,0.573618012
E34004154,Bognor Regis BUA,63885,Medium Towns,South East,Coastal,E30000191,Chichester and Bognor Regis,Majority town and city (small),Residential,Mid deprivation towns,No university,Low,645,82.01550388,44.34108527,24.03100775,19.53488372,10.3875969,54.88372093,26.20155039,30.1,46.4,20.9,3.207751938,-3.940363044
E34004155,Tarleton BUA,8582,Small Towns,North West,Non-coastal,E30000255,Preston,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,88,90.90909091,60.22727273,45.45454545,27.27272727,21.59090909,55.68181818,26.13636364,12.8,51.2,34.9,3.965909091,4.36478605
E34004157,Westbury (Wiltshire) BUA,16989,Small Towns,South West,Non-coastal,E30000280,Trowbridge,Majority town and city (small),Residential,Mid deprivation towns,No university,Low,189,77.24867725,50.79365079,31.74603175,19.04761905,10.05291005,52.91005291,29.62962963,31.6,41.2,24.1,3.28042328,-0.854759647
